typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","251","FRA","France","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","179213","false","-1","N/A",,"false","179213","false",,"false",,"821362","821362","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","276","DEU","Germany","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13267","false","-1","N/A",,"false","13267","false",,"false",,"20867","20867","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","348","HUN","Hungary","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","179","false","-1","N/A",,"false","179","false",,"false",,"523","523","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","372","IRL","Ireland","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","153501315","false","-1","N/A",,"false","153501315","false",,"false",,"32439524","32439524","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","380","ITA","Italy","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7097","false","-1","N/A",,"false","7097","false",,"false",,"8856","8856","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","528","NLD","Netherlands","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","28575","false","-1","N/A",,"false","28575","false",,"false",,"53298","53298","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","616","POL","Poland","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","142","false","-1","N/A",,"false","142","false",,"false",,"92","92","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","642","ROU","Romania","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6","false","-1","N/A",,"false","6","false",,"false",,"18","18","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","724","ESP","Spain","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12671","false","-1","N/A",,"false","12671","false",,"false",,"19986","19986","0","true","false",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","139437718","false","8","kg","139437718","false","139437718","false","0","false",,"27521656.774","27521656.774","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","203","CZE","Czechia","0","W00","World","H5","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","6051","false","8","kg","6051","false","6051","false","0","false",,"20030.531","20030.531","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","251","FRA","France","0","W00","World","H5","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","967582","false","8","kg","967582","false","967582","false","0","false",,"436414.03","436414.03","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","3176400","false","8","kg","3176400","false","3176400","false","0","false",,"616478.759","616478.759","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","348","HUN","Hungary","0","W00","World","H5","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","62","false","8","kg","62","false","62","false","0","false",,"438.136","438.136","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","372","IRL","Ireland","0","W00","World","H5","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","187602119","false","8","kg","187602119","false","187602119","false","0","false",,"37064254.988","37064254.988","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","380","ITA","Italy","0","W00","World","H5","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","26677313","false","8","kg","26677313","false","26677313","false","0","false",,"5585583.868","5585583.868","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","134642915","false","8","kg","134642915","false","134642915","false","0","false",,"24793901.567","24793901.567","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","616","POL","Poland","0","W00","World","H5","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","29560.736","true","-1","N/A","0","false","29560.736","true","0","false",,"14970.064","14970.064","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","724","ESP","Spain","0","W00","World","H5","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","99908137","false","8","kg","99908137","false","99908137","false","0","false",,"20935367.227","20935367.227","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","124009530","false","8","kg","124009530","false","124009530","false","0","false",,"27066511.157","27066511.157","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","203","CZE","Czechia","0","W00","World","H5","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","10406","false","8","kg","10406","false","10406","false","0","false",,"8867.092","8867.092","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","251","FRA","France","0","W00","World","H5","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","31095035","false","8","kg","31095035","false","31095035","false","0","false",,"6865053.351","6865053.351","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","122307801","false","8","kg","122307801","false","122307801","false","0","false",,"25094559.267","25094559.267","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","348","HUN","Hungary","0","W00","World","H5","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","13290","false","8","kg","13290","false","13290","false","0","false",,"5224.123","5224.123","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","372","IRL","Ireland","0","W00","World","H5","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","158322768","false","8","kg","158322768","false","158322768","false","0","false",,"29228258.255","29228258.255","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","380","ITA","Italy","0","W00","World","H5","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","352","false","8","kg","352","false","352","false","0","false",,"266.747","266.747","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","184260038","false","8","kg","184260038","false","184260038","false","0","false",,"35824818.217","35824818.217","0","false","true",
"C","A","20170101","2017","52","2017","826","GBR","United Kingdom","X","Export","616","POL","Poland","0","W00","World","H5","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","2834325","false","8","kg","2834325","false","2834325","false","0","false",,"520337.624","520337.624","0","false","true",
